year,region,residence,metric,unit,value
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,27.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,24.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,4.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,15.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,4.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,17.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,40.0
2009,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,10.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,5.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,5.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,9.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,17.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,9.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,5.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,37.0
2025,SOUTHEAST ASIA,Indonesia,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,14.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,54.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,19.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,1.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,3.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,1.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Others,%,7.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,47.0
2025,SOUTHEAST ASIA,Indonesia,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,13.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,19.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,7.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,1.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,7.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,1.0
2025,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Others,%,6.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,30.0
2025,SOUTHEAST ASIA,Malaysia,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,16.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,44.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,28.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,1.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,4.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,1.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Others,%,6.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,36.0
2025,SOUTHEAST ASIA,Malaysia,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,18.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,13.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,12.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,3.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,11.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.0
2025,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Others,%,6.0
2025,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,42.0
2025,SOUTHEAST ASIA,Philippines,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,15.0
