series,level,date,value
35-44 Years,group,2019-07,376777
35-44 Years,group,2019-08,371391
35-44 Years,group,2019-09,295810
35-44 Years,group,2019-10,306599
35-44 Years,group,2019-11,309427
35-44 Years,group,2019-12,319777
35-44 Years,group,2020-01,328423
35-44 Years,group,2020-02,132549
35-44 Years,group,2020-03,45909
35-44 Years,group,2020-04,233
35-44 Years,group,2020-05,264
35-44 Years,group,2020-06,496
35-44 Years,group,2020-07,1434
35-44 Years,group,2020-08,1893
35-44 Years,group,2020-09,2200
35-44 Years,group,2020-10,3246
35-44 Years,group,2020-11,3869
35-44 Years,group,2020-12,5361
