series,level,freq,date,value
15-29 Days (Number),group,monthly,2008-12,23399.0
15-29 Days (Number),group,monthly,2009-01,28951.0
15-29 Days (Number),group,monthly,2009-02,21060.0
15-29 Days (Number),group,monthly,2009-03,22313.0
15-29 Days (Number),group,monthly,2009-04,21279.0
15-29 Days (Number),group,monthly,2009-05,26148.0
15-29 Days (Number),group,monthly,2009-06,24061.0
15-29 Days (Number),group,monthly,2009-07,28625.0
15-29 Days (Number),group,monthly,2009-08,28671.0
15-29 Days (Number),group,monthly,2009-09,23244.0
15-29 Days (Number),group,monthly,2009-10,25135.0
15-29 Days (Number),group,monthly,2009-11,22267.0
15-29 Days (Number),group,monthly,2009-12,26137.0
15-29 Days (Number),group,monthly,2010-01,31261.0
15-29 Days (Number),group,monthly,2010-02,25773.0
15-29 Days (Number),group,monthly,2010-03,28004.0
15-29 Days (Number),group,monthly,2010-04,26772.0
15-29 Days (Number),group,monthly,2010-05,31603.0
15-29 Days (Number),group,monthly,2010-06,28688.0
15-29 Days (Number),group,monthly,2010-07,32769.0
15-29 Days (Number),group,monthly,2010-08,37936.0
15-29 Days (Number),group,monthly,2010-09,27297.0
15-29 Days (Number),group,monthly,2010-10,28340.0
15-29 Days (Number),group,monthly,2010-11,25161.0
15-29 Days (Number),group,monthly,2010-12,29051.0
15-29 Days (Number),group,monthly,2011-01,35393.0
15-29 Days (Number),group,monthly,2011-02,28253.0
15-29 Days (Number),group,monthly,2011-03,28933.0
15-29 Days (Number),group,monthly,2011-04,29627.0
15-29 Days (Number),group,monthly,2011-05,33919.0
15-29 Days (Number),group,monthly,2011-06,30035.0
15-29 Days (Number),group,monthly,2011-07,36183.0
15-29 Days (Number),group,monthly,2011-08,35770.0
15-29 Days (Number),group,monthly,2011-09,27644.0
15-29 Days (Number),group,monthly,2011-10,29536.0
15-29 Days (Number),group,monthly,2011-11,27293.0
15-29 Days (Number),group,monthly,2011-12,31106.0
15-29 Days (Number),group,monthly,2012-01,38817.0
15-29 Days (Number),group,monthly,2012-02,31304.0
15-29 Days (Number),group,monthly,2012-03,31933.0
15-29 Days (Number),group,monthly,2012-04,29890.0
15-29 Days (Number),group,monthly,2012-05,35288.0
15-29 Days (Number),group,monthly,2012-06,32213.0
15-29 Days (Number),group,monthly,2012-07,35958.0
15-29 Days (Number),group,monthly,2012-08,36677.0
15-29 Days (Number),group,monthly,2012-09,28315.0
15-29 Days (Number),group,monthly,2012-10,29170.0
15-29 Days (Number),group,monthly,2012-11,26695.0
15-29 Days (Number),group,monthly,2012-12,31254.0
15-29 Days (Number),group,monthly,2013-01,38176.0
15-29 Days (Number),group,monthly,2013-02,33676.0
